date,stock_code,split,label_excess_ret_5d,pred_lstm,pred_anchor,pred_lstm_z,pred_anchor_z,selected_model,pred_v52
2024-12-18,600967,val,0.019056106,0.004566714,0.0076527863813458,1.3427158889138862,1.3022791065914097,anchor,1.3022791065914097
2024-12-18,601222,val,0.020209562,0.0029132515,0.0009579872424067,1.049655314321769,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,603237,val,-0.0057821795,-0.006828174,0.0009579872424067,-0.6769201322797125,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,603335,val,0.056280635,-0.006769374,0.0009579872424067,-0.6664983889465456,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,603341,val,0.05930262,-0.009114265,0.0009579872424067,-1.0821081193249993,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,603658,val,-0.0062123463,0.0016792566,-0.0030818857798896,0.8309414006782831,-1.1896038866903011,anchor,-1.1896038866903011
2024-12-18,605090,val,0.029176105,0.0006778538,0.0009579872424067,0.6534522347817752,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,605589,val,0.04757008,-0.00057943165,0.0009579872424067,0.43061029164529113,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,688031,val,-0.047230873,-0.016501665,0.0162587416121901,-2.391454831900462,3.3000144038207093,anchor,3.3000144038207093
2024-12-18,688045,val,-0.019781655,-0.0046602637,0.0009579872424067,-0.29267855547820115,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,688133,val,-0.11825594,-0.0034684688,0.0009579872424067,-0.0814441923221242,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,688147,val,-0.019400686,0.0002719015,0.0009579872424067,0.581501032807136,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-18,688528,val,-0.035372972,0.004200265,0.0009579872424067,1.2777662728816466,-0.25181177454449477,anchor,-0.25181177454449477
2024-12-19,600025,val,-0.0020553954,0.0006725937,0.0009579872424067,0.5691268989147391,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,600051,val,-0.06014686,-0.00858748,0.0009579872424067,-1.1240377998703068,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,600127,val,-0.033376202,0.0006119907,0.0009579872424067,0.5580459006889398,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,600153,val,-0.022006817,-0.005235046,-0.0030818857798896,-0.511059643572615,-1.1465574118967297,anchor,-1.1465574118967297
2024-12-19,600548,val,0.028740741,0.004002467,0.0076527863813458,1.1779799281284122,2.0537902400080013,anchor,2.0537902400080013
2024-12-19,600865,val,0.16506237,-0.005951494,0.0009579872424067,-0.6420590828227744,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,600967,val,-0.0061652143,0.0051428825,0.0076527863813458,1.3865000035730923,2.0537902400080013,anchor,2.0537902400080013
2024-12-19,601222,val,-0.009112293,0.0030080378,0.0009579872424067,0.9961528205449107,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,603237,val,-0.027241593,-0.005647227,0.0009579872424067,-0.5864251688718272,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,603335,val,0.032818597,-0.007660046,-0.0030818857798896,-0.954460476824486,-1.1465574118967297,anchor,-1.1465574118967297
2024-12-19,603341,val,0.13040161,-0.007383004,0.0009579872424067,-0.9038045371767479,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,603658,val,-0.014509371,-1.1518598e-05,0.0009579872424067,0.4440399038751298,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,605090,val,0.014732936,0.0012712628,0.0009579872424067,0.678590972226965,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,605589,val,0.027401686,0.00014308095,0.0009579872424067,0.4723077671343309,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,688031,val,-0.057377942,-0.016564272,-0.0080391281498952,-2.5825599522318985,-2.6244692419441087,anchor,-2.6244692419441087
2024-12-19,688045,val,-0.0070412215,-0.0036691278,0.0009579872424067,-0.22473822720796757,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,688133,val,-0.11980077,-0.0025616735,0.0009579872424067,-0.022244965596269598,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,688147,val,-0.004630913,-0.0020830035,0.0009579872424067,0.06527778774503891,0.057857398980111864,anchor,0.057857398980111864
2024-12-19,688528,val,-0.03569335,0.004141316,0.0009579872424067,1.2033678713433353,0.057857398980111864,anchor,0.057857398980111864
2024-12-20,600025,val,0.018939348,-0.00017155707,0.0009579872424067,0.34422497562116866,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,600051,val,-0.033176813,-0.006758064,0.0009579872424067,-0.5735945252330337,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,600127,val,0.006076109,0.0012777895,0.0009579872424067,0.5461891668957917,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,600153,val,-0.00040794705,-0.0020111203,0.0009579872424067,0.08788469943347714,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,600548,val,0.054195557,0.0065905005,0.0009579872424067,1.2865071852361487,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,600865,val,0.13507491,-0.0034528822,0.0009579872424067,-0.11302257986830086,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,600967,val,0.04483787,0.0053540915,0.0076527863813458,1.1142155132934848,0.9884808160012315,anchor,0.9884808160012315
2024-12-20,601222,val,0.0078905905,0.0033882558,0.0009579872424067,0.8402793647232485,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,603237,val,-0.011239226,-0.0047065914,0.0009579872424067,-0.2877250077848719,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,603335,val,0.011320951,-0.009575903,-0.0030818857798896,-0.9662560090747433,-0.18717853456383315,anchor,-0.18717853456383315
2024-12-20,603341,val,0.028521787,-0.009857938,-0.0030818857798896,-1.0055571478535368,-0.18717853456383315,anchor,-0.18717853456383315
2024-12-20,603658,val,-0.009608834,-0.00046655536,0.0009579872424067,0.3031174225345065,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,605090,val,0.016434362,0.0008188784,0.0009579872424067,0.48224061856587247,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,605589,val,0.018395154,7.5683e-05,0.0009579872424067,0.3786774949990778,0.25526762703478945,anchor,0.25526762703478945
2024-12-20,688031,val,-0.15409996,-0.02570419,-0.0379021904161303,-3.2137077283691946,-4.000691990796784,anchor,-4.000691990796784
2024-12-20,688045,val,-0.041455455,-0.005403608,-0.0030818857798896,-0.3848531873644375,-0.18717853456383315,anchor,-0.18717853456383315
2024-12-20,688133,val,-0.10607975,0.0002425909,0.0009579872424067,0.40193585137745985,0.25526762703478945,anchor,0.25526762703478945
