date,stock_code,split,label_excess_ret_5d,pred_lstm,fit_start_date,fit_end_date,train_samples,val_samples,best_epoch,trained_epochs,best_score
2025-10-27,688045,test,-0.027370399,-0.00024956465,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-27,688133,test,-0.016663818,-0.0011256337,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-27,688147,test,-0.08842609,-0.022226341,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-27,688528,test,-0.0037278447,0.0044374764,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600025,test,-0.010131367,0.00601919,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600051,test,0.035296652,0.001222305,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600127,test,0.014123757,0.0023279116,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600153,test,0.008763134,0.00047569722,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600548,test,0.014620494,0.001125209,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600865,test,-0.012985683,0.0016206279,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,600967,test,-0.056131426,-0.009847574,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,601222,test,0.017312264,0.00057035685,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,603237,test,0.0086852275,-0.00031399727,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,603335,test,0.05353954,-0.005979374,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,603341,test,-0.034630705,-0.0037216917,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,603658,test,0.0026323774,0.00014019758,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,605090,test,0.043259874,-0.0025022775,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,605589,test,-0.09385703,-0.0036015585,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,688031,test,0.10828823,-0.025678255,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,688045,test,-0.031777762,0.00059372187,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,688133,test,-0.010325186,6.265193e-05,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,688147,test,-0.08028738,-0.017974012,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-28,688528,test,0.02360499,0.008138433,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600025,test,-0.024923842,0.006083466,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600051,test,0.048613522,0.0022319853,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600127,test,0.008772886,0.0016810521,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600153,test,-0.002128997,0.00015749782,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600548,test,0.00974376,0.0025052503,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600865,test,0.0119986925,0.00046496093,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,600967,test,-0.038279854,-0.009041555,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,601222,test,0.027474009,-0.0016331598,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,603237,test,0.019825824,-0.0006717518,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,603335,test,0.07791285,-0.00032231957,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,603341,test,-0.05026455,-0.0045733973,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,603658,test,-0.0054537044,-0.00017104298,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,605090,test,0.03719587,-0.0017731115,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,605589,test,-0.109687135,-0.0012370348,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,688031,test,0.15000913,-0.014374062,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,688045,test,-0.03998495,-0.00016754866,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,688133,test,-0.03619329,-0.0011554807,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,688147,test,-0.113711804,-0.018934362,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-29,688528,test,0.02908158,0.008024752,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600025,test,-0.044113986,0.0020457357,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600051,test,0.04860277,0.0025324896,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600127,test,-0.011176138,0.00036167353,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600153,test,-0.023572428,-0.0006526336,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600548,test,-0.0019380843,0.0024111867,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600865,test,0.006135638,1.385808e-06,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,600967,test,-0.02546256,-0.0074724928,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,601222,test,0.023359338,-0.0027992055,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,603237,test,0.007304159,-0.0019062012,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,603335,test,0.047957167,0.002113223,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,603341,test,-0.040316,-0.0030618533,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,603658,test,-0.0010516336,-0.00065053254,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,605090,test,0.04494273,-0.0020815507,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,605589,test,-0.06597758,0.00056729466,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,688031,test,0.1350745,-0.0073094144,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,688045,test,-0.03455702,-0.00011720508,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,688133,test,-0.04486798,-0.0002617687,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,688147,test,-0.0330415,-0.013591208,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-30,688528,test,0.012698614,0.007547371,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600025,test,-0.008844851,0.00055620074,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600051,test,0.03518242,0.00083928555,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600127,test,0.003527404,-4.9211085e-05,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600153,test,-0.0018073252,-0.0015485436,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600548,test,0.007864773,0.0024749115,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600865,test,-0.0024407455,-0.0011685416,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,600967,test,-0.039276406,-0.006049894,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,601222,test,0.05403607,-0.0028012916,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,603237,test,0.0007414177,-0.0026861057,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,603335,test,0.012542509,-0.005871363,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,603341,test,-0.02863861,-0.0006412342,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,603658,test,-0.0029121742,-0.0013846979,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,605090,test,0.053224616,-0.0031440333,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,605589,test,-0.023235036,0.0014215708,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,688031,test,0.032602604,-0.020249538,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
2025-10-31,688045,test,-0.06148361,9.769201e-05,2020-05-08,2025-09-05,18657,1140,2,6,0.0012174783507362009
