date,stock_code,split,label_excess_ret_5d,pred_lstm,fit_start_date,fit_end_date,train_samples,val_samples,best_epoch,trained_epochs,best_score
2026-02-13,688528,test,-0.068525836,0.006556675,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600025,test,0.08603987,-0.0022273213,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600051,test,-0.020338295,0.005055085,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600127,test,0.077532575,-0.0048107356,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600153,test,0.04402485,0.0008584708,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600548,test,0.012924813,0.004030153,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600865,test,-0.020731686,-0.00397633,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,600967,test,0.007088514,0.0037724376,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,601222,test,0.0033020878,0.0111332685,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,603237,test,0.006977083,0.005183369,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,603335,test,-0.095208034,0.00041508675,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,603341,test,-0.04413195,0.0039627105,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,603658,test,-0.011308729,-0.0010131747,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,605090,test,0.19006197,0.011991903,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,605589,test,0.06763893,0.0012946278,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,688031,test,0.0347267,-0.051346593,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,688045,test,-0.07188097,-0.005218819,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,688133,test,-0.07980713,0.007472977,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,688147,test,-0.10119605,-0.03810235,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-24,688528,test,-0.0761224,0.0056519806,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
2026-02-25,600025,test,0.13154203,-0.00052566826,2022-12-29,2026-02-04,13029,760,9,10,0.003840440729012092
