lookback_days,label_delay_days,val_rank_ic,val_long_short,test_rank_ic,test_long_short,val_lstm_ratio,test_lstm_ratio,selector_rows
15,7,0.05358249117747075,-0.00040068218771785073,0.01659407115665496,0.0013611038668289376,0.6493170042392841,0.37668161434977576,448
15,10,0.053583776144872745,-0.0006689670373279293,0.01642672419591873,0.0049190224056774165,0.6365991521431936,0.3901345291479821,448
20,10,0.06216835892775206,-0.0007669681553343798,0.015782232269916905,0.007368487695847186,0.6947715496938295,0.4260089686098655,448
5,3,0.05954170436062523,-0.003334800295447984,0.015549820057244272,0.0006624858538319059,0.5499293452661328,0.42152466367713004,448
20,7,0.06738312384670371,-0.00036119974861679977,0.014793535071364775,0.007337925868245413,0.7074894017899199,0.4125560538116592,448
6,7,0.07396174946016715,0.00017053100979744521,0.014708686525338355,-0.0028375252905220847,0.5598210080075365,0.40358744394618834,448
12,10,0.05226291790960037,-0.00011020098133133975,0.014480057248563452,0.001738819679916698,0.6231747527084315,0.37668161434977576,448
10,3,0.06361627887015889,-0.00209073894265288,0.013863583709298603,0.002440766808128067,0.6125765426283561,0.3991031390134529,448
40,7,0.06006646645281606,-0.00044074070077682346,0.013367332691504377,0.00922498355168309,0.7298634008478568,0.5067264573991032,448
20,5,0.06472909644329423,0.0010978988940910919,0.0123426328598074,0.006366316284162575,0.7159679698539803,0.40358744394618834,448
40,5,0.07234157062379383,0.000815852448193497,0.011119375272662803,0.007478118372265021,0.7383419689119171,0.5067264573991032,448
30,10,0.04760350847656986,-0.002165976722288499,0.009986360830203015,0.010999739463024917,0.6858219500706547,0.48878923766816146,448
40,10,0.05207198987905997,-0.0014858539705538674,0.00789144596572418,0.010782189891767492,0.7171455487517664,0.5067264573991032,448
6,5,0.056361250433113796,-0.005168058278560423,0.006806993523631372,-0.002305733364674726,0.559349976448422,0.4125560538116592,448
5,5,0.051820745979449606,-0.004957075419234532,0.004771319882108786,0.0001507613406821037,0.5504003768252473,0.4125560538116592,448
6,3,0.05372856562674042,-0.006452797276606659,0.002094939385223014,0.0006204040466189375,0.5588789448893076,0.42152466367713004,448
40,3,0.06449940188858234,-0.0004374592171975037,0.001192106619018985,0.006931720289805772,0.7468205369759774,0.5067264573991032,448
