date,signal_alias,stock_code,industry,score,future_return,benchmark_return,excess_return,weight
2025-08-04,stage4_1_tree,688045,TMT科技,0.0067569031570287,0.013541666666666785,0.02400443465774619,-0.010462767991079404,0.25
2025-08-04,stage4_1_tree,688147,TMT科技,0.0067569031570287,0.02605091770278256,0.02400443465774619,0.002046483045036372,0.25
2025-08-04,stage4_1_tree,600025,周期公用,0.0011073128742544,-0.007567567567567601,0.02400443465774619,-0.03157200222531379,0.25
2025-08-04,stage4_1_tree,600051,消费服务,0.0011073128742544,0.035340314136125706,0.02400443465774619,0.011335879478379517,0.25
2025-08-11,stage4_1_tree,605090,周期公用,0.0075912766523209,0.027942596936663344,0.020326068075995324,0.00761652886066802,0.25
2025-08-11,stage4_1_tree,688528,TMT科技,0.0075912766523209,-0.04672131147540981,0.020326068075995324,-0.06704737955140513,0.25
2025-08-11,stage4_1_tree,600025,周期公用,0.0007168516125175,-0.007625272331154731,0.020326068075995324,-0.027951340407150055,0.25
2025-08-11,stage4_1_tree,600051,消费服务,0.0007168516125175,-0.031605562579013924,0.020326068075995324,-0.05193163065500925,0.25
2025-08-18,stage4_1_tree,600967,工业制造,0.0121510202626912,-0.0694994598487576,0.01914063754269096,-0.08864009739144857,0.25
2025-08-18,stage4_1_tree,600153,消费服务,0.0075912766523209,0.02272727272727293,0.01914063754269096,0.003586635184581969,0.25
2025-08-18,stage4_1_tree,600025,周期公用,0.0007168516125175,0.03073545554335899,0.01914063754269096,0.011594818000668031,0.25
2025-08-18,stage4_1_tree,600051,消费服务,0.0007168516125175,0.022193211488250597,0.01914063754269096,0.003052573945559637,0.25
2025-08-25,stage4_1_tree,600153,消费服务,0.0075912766523209,-0.05777777777777793,-0.007734934411061165,-0.050042843366716765,0.25
2025-08-25,stage4_1_tree,603341,TMT科技,0.0075912766523209,0.003058103975535076,-0.007734934411061165,0.01079303838659624,0.25
2025-08-25,stage4_1_tree,600025,周期公用,0.0007168516125175,-0.03407880724174661,-0.007734934411061165,-0.02634387283068545,0.25
2025-08-25,stage4_1_tree,600051,消费服务,0.0007168516125175,-0.06513409961685823,-0.007734934411061165,-0.05739916520579707,0.25
