date,signal_alias,selected_count,gross_return,benchmark_return,cost_drag,net_return,buy_turnover,sell_turnover,gross_nav,net_nav,benchmark_nav
2025-08-11,stage4_1_tree,4,-0.01450238736222878,0.020326068075995327,0.0013,-0.01580238736222878,0.5,0.5,1.1855158677986284,1.1619099935017958,1.1571271301568544
2025-08-18,stage4_1_tree,4,0.001539119977531228,0.01914063754269096,0.0013,0.00023911997753122815,0.5,0.5,1.1873405189544375,1.1621878293933352,1.179275281146001
2025-08-25,stage4_1_tree,4,-0.038483145165211924,-0.007734934411061163,0.00065,-0.03913314516521192,0.25,0.25,1.1416479214029758,1.1167077643564431,1.1701536641937509
2025-09-01,stage4_1_tree,4,-0.013481248416358116,-0.011695160723041708,0.0013,-0.014781248416358115,0.5,0.5,1.1262570821705233,1.1002014294830147,1.156468529020349
2025-09-08,stage4_1_tree,4,-0.016372815013130287,0.010635996462297041,0.00065,-0.01702281501313029,0.25,0.25,1.1078170833069174,1.081472904071744,1.1687687242037672
2025-09-15,stage4_1_tree,4,-0.020427660668430825,-0.0034164840942350412,0.00065,-0.021077660668430826,0.25,0.25,1.0851869718464329,1.0586779851776171,1.1647756444476858
2025-09-22,stage4_1_tree,4,0.0016230713346509773,0.008138583819130733,0.0019500000000000001,-0.0003269286653490228,0.75,0.75,1.0869483077131736,1.0583318729968887,1.1742552686605054
2025-09-29,stage4_1_tree,4,-0.013318491072976307,-0.019602258490139895,0.0026,-0.015918491072976305,1.0,1.0,1.072471796380109,1.0414848265243415,1.1512372133508135
2025-10-14,stage4_1_tree,4,0.008747273512763665,-0.0004621650374142645,0.0013,0.007447273512763665,0.5,0.5,1.0818530005177707,1.0492410488868615,1.1507051517610325
2025-10-21,stage4_1_tree,4,0.026515176433994647,0.03071313191316018,0.0019500000000000001,0.024565176433994647,0.75,0.75,1.110538523702146,1.0750158403745569,1.186046910880222
2025-10-28,stage4_1_tree,4,-0.009917604129148494,-0.015585745410165813,0.0013,-0.011217604129148493,0.5,0.5,1.0995246422538991,1.0629567382446712,1.1675614856827294
2025-11-04,stage4_1_tree,4,0.00948989253193247,0.015333413148671812,0.0019500000000000001,0.00753989253193247,0.75,0.75,1.1099590129451,1.0709713178171296,1.1854641883191797
2025-11-11,stage4_1_tree,4,0.007900079730017884,0.0008996226462769476,0.0013,0.006600079730017884,0.5,0.5,1.1187277776444182,1.078039813903285,1.1865306587493418
2025-11-18,stage4_1_tree,4,-0.003544415293677744,-0.03430405656540344,0.0013,-0.004844415293677744,0.5,0.5,1.1147625417998732,1.0728173413416184,1.145827843915019
2025-11-25,stage4_1_tree,4,-0.0025991220716814756,0.009827282518977938,0.0013,-0.0038991220716814755,0.5,0.5,1.1118651378727975,1.0686342955671106,1.1570882178552833
2025-12-02,stage4_1_tree,4,0.009275620643498295,0.0014157565538840575,0.0019500000000000001,0.007325620643498294,0.75,0.75,1.1221783770984366,1.0764627050230675,1.158726373083134
2025-12-09,stage4_1_tree,4,0.1612571102438957,0.011269976428046662,0.0019500000000000001,0.15930711024389568,0.75,0.75,1.3031376193675153,1.2479508678456195,1.171785191994337
2025-12-16,stage4_1_tree,4,0.011474821864498108,0.029036466740395925,0.0013,0.010174821864498109,0.5,0.5,1.3180908914146836,1.2606485456215946,1.205809693748569
2025-12-23,stage4_1_tree,4,-0.008281998794509693,0.004519925801945642,0.0013,-0.009581998794509692,0.5,0.5,1.3071744642409329,1.248569012777148,1.2112598640955794
2025-12-30,stage4_1_tree,4,0.12633628230349306,0.06254314695824117,0.0026,0.12373628230349305,1.0,1.0,1.4723180263751927,1.403062300617535,1.2870158677803285
2026-01-08,stage4_1_tree,4,-0.03782875683371867,0.025157219244607332,0.0019500000000000001,-0.03977875683371867,0.75,0.75,1.4166220657735449,1.347250226538712,1.3193936081373667
2026-01-15,stage4_1_tree,4,0.036206455326281806,0.03345424532414896,0.0013,0.0349064553262818,0.5,0.5,1.4679129293121997,1.3942779563847087,1.3635329255831081
2026-01-22,stage4_1_tree,4,-0.010566104306185486,-0.01342748981093093,0.0013,-0.011866104306185486,0.5,0.5,1.4524028081886886,1.3777333087224326,1.3452241011179722
2026-01-29,stage4_1_tree,4,-0.04001112772736404,-0.008972762814563226,0.0013,-0.04131112772736404,0.5,0.5,1.3942905339186689,1.3208175920315564,1.3331537243262066
2026-02-05,stage4_1_tree,4,-0.0400978152640489,0.0055828883027385255,0.0019500000000000001,-0.0420478152640489,0.75,0.75,1.3383825296651861,1.2652800979243075,1.3405965726594995
2026-02-12,stage4_1_tree,4,0.06702873120641079,0.03624914327944338,0.00065,0.06637873120641079,0.25,0.25,1.42809261249747,1.3492677854452462,1.3891920499017645
2026-02-27,stage4_1_tree,4,0.022958643611830726,-0.01705633416684659,0.00065,0.022308643611830725,0.25,0.25,1.4608796818324876,1.3793681196076681,1.3654975260767133
2026-03-06,stage4_1_tree,4,0.016408930977165725,-0.012323733861482222,0.00065,0.015758930977165724,0.25,0.25,1.4848511556976207,1.4011054865966683,1.3486694979768314
2026-03-13,stage4_1_tree,4,-0.10664365584694746,-0.06924494213015306,0.0013,-0.10794365584694746,0.5,0.5,1.3265012000654615,1.2498650381462078,1.2552809566367231
2026-03-20,stage4_1_tree,4,-0.0033588561985928023,-0.0067851699273019485,0.0013,-0.004658856198592802,0.5,0.5,1.3220456732871808,1.2440420966658359,1.246763662039437
