date,stock_code,split,label_excess_ret_5d,pred_ridge,ridge_fit_start_date,ridge_fit_end_date,pred_tree,fit_start_date_tree,fit_end_date_tree,fit_start_date_ridge_meta,fit_end_date_ridge_meta,tree_fit_start_date,tree_fit_end_date,industry,pred_ridge_z,pred_tree_z,w_ridge,w_tree,pred_blend
2025-08-12,688528,test,-0.041326247018801957,-0.002407171861114379,2020-04-03,2025-08-08,0.007591276652320927,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,TMT科技,-0.31371764378741274,1.978709266521824,0.6456479012465438,0.3543520987534562,0.4986086431195663
2025-08-13,600025,test,-0.002904200929311313,-0.0026269280817791574,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,周期公用,-0.501628996172508,0.06640532203312649,0.7790321654938326,0.22096783450616742,-0.37611168295342173
2025-08-13,600051,test,-0.007676975363841149,0.004022198889736798,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,消费服务,0.7996424319271014,0.06640532203312649,0.7790321654938326,0.22096783450616742,0.6376206155742691
2025-08-13,600127,test,-0.011317791396396099,0.0019620839251084476,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,消费服务,0.3964663828675189,0.06640532203312649,0.7790321654938326,0.22096783450616742,0.3235335050001348
2025-08-13,600153,test,0.07996190312216489,-0.0012037014254010657,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,消费服务,-0.2230955598900742,0.06640532203312649,0.7790321654938326,0.22096783450616742,-0.1591251769238789
2025-08-13,600548,test,-0.007923310819074042,-0.0011746091541820639,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,周期公用,-0.21740203930038085,0.06640532203312649,0.7790321654938326,0.22096783450616742,-0.15468974124960636
2025-08-13,600865,test,-0.000783744763951039,2.4386054617970255e-05,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,消费服务,0.017248045488734064,0.06640532203312649,0.7790321654938326,0.22096783450616742,0.028110222436969274
2025-08-13,600967,test,-0.10144435520717043,-0.01695039666953641,2020-04-03,2025-08-08,-0.009913616921223754,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,工业制造,-3.3048121064329625,-3.504499557589008,0.7790321654938326,0.22096783450616742,-3.34893661009297
2025-08-13,601222,test,0.001216467621133371,-0.0022320337713717573,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,周期公用,-0.4243459655650942,0.06640532203312649,0.7790321654938326,0.22096783450616742,-0.315905716263402
2025-08-13,603237,test,0.001948999033641546,-0.0005333640734495308,2020-04-03,2025-08-08,0.0007168516125175788,2022-06-30,2025-08-08,2020-04-03,2025-08-08,2022-06-30,2025-08-08,消费服务,-0.09190678172126027,0.06640532203312649,0.7790321654938326,0.22096783450616742,-0.056924898978537725
